filename,statement,error,error_stack_trace
sql/bronze_scope/sql-reference-functions/Conversion/to_double.slt,"WITH double_demo AS (
    SELECT * FROM VALUES
    (1.1, '2.2', TO_VARIANT(3.14))
    AS T(d, v, o)
)
SELECT TO_DOUBLE(d), TO_DOUBLE(v), TO_DOUBLE(o) FROM double_demo;",000200: SQL compilation error: unsupported feature: Function 'to_double' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/to_double,"0: DataFusion error: This feature is not implemented: Function 'is_decimal' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_decimal, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'is_decimal' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_decimal"")"
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/is_decimal.slt,"WITH raw_data(n, json_string) AS (
    SELECT * FROM VALUES
        (1, 'null'),
        (2, NULL),
        (3, 'true'),
        (4, '-17'),
        (5, '123.12'),
        (6, '1.912e2'),
        (7, '""Om ara pa ca na dhih""'),
        (8, '[-1, 12, 289, 2188, false]'),
        (9, '{ ""x"" : ""abc"", ""y"" : false, ""z"": 10}')
),
vartab AS (
    SELECT
        n,
        PARSE_JSON(json_string) AS v
    FROM raw_data
)
SELECT *
FROM vartab
WHERE IS_DECIMAL(v);",000200: SQL compilation error: unsupported feature: Function 'is_decimal' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_decimal,"0: DataFusion error: This feature is not implemented: Function 'is_decimal' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_decimal, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'is_decimal' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_decimal"")"
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/array_position.slt,"SELECT ARRAY_POSITION(ARRAY_CONSTRUCT('hello', 'hi'), 'hello'::variant)",000200: expected value at line 1 column 1,"0: DataFusion error: This feature is not implemented: Function 'is_decimal' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_decimal, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'is_decimal' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/is_decimal"")"
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/array_position.slt,"SELECT ARRAY_POSITION(ARRAY_CONSTRUCT('hello', 'hi'), 'hi'::variant)",000200: expected value at line 1 column 1,"0: DataFusion error: External error: expected value at line 1 column 1, at crates/core-executor/src/query.rs:1681:22
1: External(0: <transparent>
1: expected value at line 1 column 1, at crates/embucket-functions/src/semi-structured/array/array_position.rs:112:50
2: Error(""expected value"", line: 1, column: 1))"
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/is_decimal.slt,"WITH multiple_types AS (
  SELECT
    TO_VARIANT(TO_ARRAY('Example')) AS array1,
    TO_VARIANT(ARRAY_CONSTRUCT('Array-like', 'example')) AS array2,
    TO_VARIANT(TRUE) AS boolean1,
    TO_VARIANT('X') AS varchar1,
    TO_VARIANT('I am a real character') AS varchar2,
    TO_VARIANT(1.23::DECIMAL(6, 3)) AS decimal1,
    TO_VARIANT(3.21::DOUBLE) AS double1,
    TO_VARIANT(15) AS integer1,
    TO_VARIANT(TO_OBJECT(PARSE_JSON('{""Tree"": ""Pine""}'))) AS object1
)
SELECT IS_DECIMAL(decimal1),
       IS_DECIMAL(double1),
       IS_DECIMAL(integer1)
  FROM multiple_types",000200: SQL compilation error: unsupported feature: Function 'to_object' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/to_object,"0: DataFusion error: External error: expected value at line 1 column 1, at crates/core-executor/src/query.rs:1681:22
1: External(0: <transparent>
1: expected value at line 1 column 1, at crates/embucket-functions/src/semi-structured/array/array_position.rs:112:50
2: Error(""expected value"", line: 1, column: 1))"
sql/bronze_scope/sql-reference-functions/Conversion/to_double.slt,"SELECT TO_DOUBLE(1.1)::NUMBER(38, 18)",000200: SQL compilation error: unsupported feature: Function 'to_double' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/to_double,"0: DataFusion error: External error: expected value at line 1 column 1, at crates/core-executor/src/query.rs:1681:22
1: External(0: <transparent>
1: expected value at line 1 column 1, at crates/embucket-functions/src/semi-structured/array/array_position.rs:112:50
2: Error(""expected value"", line: 1, column: 1))"
sql/bronze_scope/sql-reference-functions/Semi-structured_and_structured_data/array_position.slt,"SELECT ARRAY_POSITION(ARRAY_CONSTRUCT('hola', 'bonjour'), 'hello'::variant)",000200: expected value at line 1 column 1,"0: DataFusion error: This feature is not implemented: Function 'yearofweekiso' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/year, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'yearofweekiso' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/year"")"
sql/bronze_scope/sql-reference-functions/Date_&_time/yearofweekiso.slt,"SELECT 
       '2016-01-02T23:39:20.123-07:00'::TIMESTAMP AS tstamp,
       YEAROFWEEKISO(tstamp) AS ""YEAR OF WEEK ISO""",000200: SQL compilation error: unsupported feature: Function 'yearofweekiso' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/year,"0: DataFusion error: This feature is not implemented: Function 'yearofweekiso' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/year, at crates/core-executor/src/query.rs:280:44
1: NotImplemented(""Function 'yearofweekiso' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/year"")"
sql/bronze_scope/sql-reference-functions/Data_generation/randstr.slt,"SELECT randstr(5, random()) FROM table(generator(rowCount => 5))",000200: SQL compilation error: unsupported feature: Function 'randstr' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/randstr,
sql/bronze_scope/sql-reference-functions/Data_generation/randstr.slt,"SELECT randstr(5, 1234) FROM table(generator(rowCount => 5))",000200: SQL compilation error: unsupported feature: Function 'randstr' is not implemented yet. Details: https://docs.snowflake.com/en/sql-reference/functions/randstr,
